PID,location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,SWGeo,SWPop,DateIssued,DateEnacted,DateExpiry,DateEnded,Extends,Expands,Eases,Ends,Depends,PolicyCodingNotes,PolicySource,PolicySourceID,LastUpdated,LastUpdatedNotes,UpdatingSource1,UpdatingSource2
AK0004,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200317,20200318,20200401,,,,,,,"Limited operations required (delivery, window service, walk-up, drive through only permitted): restaurants, bars, breweries, food trucks. In effect at 5 pm on 20200318, continuing until 5 pm on 20200401. Expiry coded to 20200401.",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,Alaska0009,20200426,Added initial DateExpiry of 20200401,https://covid19.alaska.gov/health-mandates/,
AK0015,524,2,AK,Alaska,GathRestrict10,1,0,0,1,20200320,20200321,,,,,,,,(quote) no gatherings of more than 10 people may take place (quote). Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0016,524,2,AK,Alaska,GathRestrictAny,1,0,0,1,20200320,20200321,,,,,,,,(quote) no gatherings of more than 10 people may take place (quote). Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0014,524,2,AK,Alaska,OtherBusinessClose,1,0,0,1,20200320,20200321,,,,,,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.",https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0017,524,2,AK,Alaska,SchoolClose,1,1,1,1,20200320,20200320,20200502,,AK0013,AK0013,,,,"Expands AK0002 to all public and private schools. Extends closure through 20200501, so expires on 20200502. ",https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf,Alaska0006,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0005,524,2,AK,Alaska,StayAtHome,1,0,0,1,20200320,20200322,20200401,,,,,,,"Only applicable to Anchorage. Enacted at 10 pm on 20200322, in effect through 1159 pm on 20200331, so coded to 20200401.",https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf,Alaska0010,20200426,Added initial DateExpiry of 20200401,https://covid19.alaska.gov/health-mandates/,
AK0006,524,2,AK,Alaska,GathRestrict10,1,1,1,1,20200323,20200324,,,,AK0015,,,,"(quote) No gatherings of more than 10 people may take place (quote). Issued 20200323, in effect on 20200324 at 500 pm. Expands the more focal gathering restriction for AK0015",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0007,524,2,AK,Alaska,GathRestrictAny,1,1,1,1,20200323,20200324,,,,AK0016,,,,"(quote) No gatherings of more than 10 people may take place (quote). Issued 20200323, in effect on 20200324 at 500 pm. Expands the more focal gathering restriction for AK0016",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0008,524,2,AK,Alaska,OtherBusinessClose,1,1,1,1,20200323,20200324,,,,AK0014,,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. Issued 20200323, in effect on 20200324 at 500 pm",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0009,524,2,AK,Alaska,Quarantine,1,1,1,1,20200323,20200325,20200421,,,,,,,Mandates 14 day quarantine for all people arriving in Alaska from any point of origin (international or interstate),https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-010.pdf,Alaska0008,20200331,,https://covid19.alaska.gov/health-mandates/,
AK0010,524,2,AK,Alaska,NEBusinessClose,1,1,1,1,20200327,20200328,20200411,,,AK0008,,,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411. Expands AK0008 as it now applies to all non-essential businesses,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200330,,https://covid19.alaska.gov/health-mandates/,
AK0020,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200327,20200328,20200411,,AK0004,,,,,Extends restrictions on restaurant operations to 20200411.,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0011,524,2,AK,Alaska,StayAtHome,1,1,1,1,20200327,20200328,20200411,,AK0005,AK0005,,,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411. Expands AK0005 as it is a statewide order and extends to 20200411,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200330,,https://covid19.alaska.gov/health-mandates/,
AK0012,524,2,AK,Alaska,TravelRestrictIntra,1,1,1,1,20200327,20200328,20200411,,,,,,,Travel between communities banned unless for critical personal or infastructure needs. ,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/,Alaska0012,20200331,,https://covid19.alaska.gov/health-mandates/,
AK0027,524,2,AK,Alaska,PublicMask,0,1,1,1,20200403,20200403,,,,,,,,Highly recommended for all Alaskans: wear a cloth face covering in public settings where other social distancing measures are difficult to maintain,http://dhss.alaska.gov/dph/Epi/id/SiteAssets/Pages/HumanCoV/SOA_04032020_HealthAlert010_ClothFaceCoverings.pdf,Alaska0015,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0032,524,2,AK,Alaska,NEBusinessClose,1,1,1,1,20200409,20200409,,,AK0010,,,,,"Extends mandate to being in effect until rescinded, so no formal expiry anymore. Provided on online version of Health Mandate 011: Social Distancing https://covid19.alaska.gov/health-mandates/",https://covid19.alaska.gov/health-mandates/,Alaska0016,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0033,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200409,20200409,,,AK0020,,,,,"Extends mandate to being in effect until rescinded, so no formal expiry anymore. Provided on online version of Health Mandate 011: Social Distancing https://covid19.alaska.gov/health-mandates/",https://covid19.alaska.gov/health-mandates/,Alaska0016,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0018,524,2,AK,Alaska,SchoolClose,1,1,1,1,20200409,20200409,,,AK0017,,,,,Extends closure of all K-12 public and private schools to the end of the 2019-2020 academic year. ,https://gov.alaska.gov/wp-content/uploads/sites/2/04092020-SOA-COVID-19-Health-Mandate-013.pdf,Alaska0013,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0034,524,2,AK,Alaska,StayAtHome,1,1,1,1,20200409,20200409,,,AK0011,,,,,"Extends mandate to being in effect until rescinded, so no formal expiry anymore. Provided on online version of Health Mandate 011: Social Distancing https://covid19.alaska.gov/health-mandates/",https://covid19.alaska.gov/health-mandates/,Alaska0016,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0035,524,2,AK,Alaska,TravelRestrictIntra,1,1,1,1,20200409,20200409,,,AK0012,,,,,"Extends mandate to being in effect until rescinded, so no formal expiry anymore. Provided on online version of Health Mandate 012: Social Distancing https://covid19.alaska.gov/health-mandates/",https://covid19.alaska.gov/health-mandates/,Alaska0018,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0037,524,2,AK,Alaska,Quarantine,1,1,1,1,20200421,20200421,20200519,,AK0009,,,,,Extends 14-day quarantine for all people arriving in Alaska from any point of origin (international or interstate). Provided on online version of Health Mandate 010: International and Interstate Travel – Order for Self-Quarantine,https://covid19.alaska.gov/health-mandates/,Alaska0019,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0021,524,2,AK,Alaska,BusinessHealthSafety,1,1,1,1,20200422,20200424,,,,,,,,"For all NE businesses. Social distancing: reservations only, cloth face coverings required of all employees, no more than 20 customers or 25% maximum capacity (whichever is smaller), at least 6 ft betweeen individuals and household groups, establish a COVID-19 mitigation plan. Hygiene: employer must provide handwashing capability or sanitizer, frequent handwashing for employees, employer must provide hourly touch-point sanitation. Staffing: must conduct pre-shift screening, no employee allowed to come to work within 72 hours of having a fever. Cleaning and disinfecting: must be conducted in compliance with CDC protocols, active cleaning immediately or shutting down for 72 hours if employee becomes COVID-19 positive with testing.",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,Alaska0014,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0023,524,2,AK,Alaska,BusinessHealthSafety,1,1,1,1,20200422,20200424,,,,,,,,"General: social distancing protocol maintained, develop COVID-19 mitigan plan for employees and customers. Capacity: groups are limited to household members only, maximum indoor capacity is 25%, no more than 20 tables outside. Operations: reservations only (no walk-ins allowed), cloth coverings required of all employees, disposableware and single use condiments, fully sanitize tables after each group, sanitize or provide disposable menus, hourly touch-point sanitization. Hygiene: must provide handwashing capacity or sanitizer, frequent handwashing required. Staffing: conduct pre-shift screening, no person can work if ill or within 72 hours of having a fever. Cleaning and disinfecting: must follow CDC protocols",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,Alaska0014,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0019,524,2,AK,Alaska,NEBusinessClose,1,1,1,1,20200422,20200424,,,,,AK0032,,AK0021,"Non-essential businesses can resume operations if they meet specified social distancing requirements, hygiene protocols, staffing requirements, cleaning and disinfecting. Retail businesses have same protocols, but also are encouraged to do entryway, curbside and home delivery, telephone and online ordering for contactless pickup and delivery, cashless and receiptless transactions. Personal care services also have specific guidelines (e.g., no people allowed in waiting area, one customer per staff person at a time, customers have to undergo a pre-visit telephone screening for symptoms consistent with COVID-19, customers must also wear cloth coverings). ",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,Alaska0014,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0022,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200422,20200424,,,,,AK0033,,AK0023,"Restaurants (but not bars) may resume table-service dining if they meet all healthy and safety requirements. In addition to requirements, encouraged to continue entryway, curbside and home delivery, telephone and online ordering, cashless and receiptless transactions, and having customers enter and exit through different doors (one way traffic)",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,Alaska0014,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0028,524,2,AK,Alaska,TravelRestrictIntra,1,1,1,1,20200422,20200424,,,,,AK0035,,,"Eases travel restrictions under AK0012 to allow intrastrate travel and outdoor recreation as long as only household members travel together in the same vehicle, adhere to social distancing outside of transport, using cloth masks if/when engaging with a third party vendor (eg, stopping for gas or food).",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,Alaska0014,20200426,,https://covid19.alaska.gov/health-mandates/,
